"series","episode","baker_name","baker","result","baker_age","baker_occupation","hometown","signature_bake","show_stopper","technical"
6,9,NA,"Dorret",NA,NA,NA,NA,NA,NA,NA
6,9,NA,"Marie",NA,NA,NA,NA,NA,NA,NA
6,9,NA,"Mat",NA,NA,NA,NA,NA,NA,NA
6,9,NA,"Paul",NA,NA,NA,NA,NA,NA,NA
6,9,NA,"Sandy",NA,NA,NA,NA,NA,NA,NA
6,9,NA,"Stu",NA,NA,NA,NA,NA,NA,NA
6,9,NA,"Ugnė",NA,NA,NA,NA,NA,NA,NA
6,10,"Ian Cumming","Ian","Runner-up",41,"Travel photographer","Great Wilbraham, Cambridgeshire","Elderflower and Lemon & Spiced Buns","Colossal Curvy Carrot Cake",2
6,10,"Nadiya Hussain","Nadiya","WINNER",30,"Full-time mother","Leeds / Luton","Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers","My Big Fat British Wedding Cake",1
6,10,"Tamal Ray","Tamal","Runner-up",29,"Trainee anaesthetist","Manchester","Cinnamon and Apple & Toffee and Marmalade Iced Buns","Sticky Toffee Pudding Cake",3
6,10,NA,"Alvin",NA,NA,NA,NA,NA,NA,NA
6,10,NA,"Dorret",NA,NA,NA,NA,NA,NA,NA
6,10,NA,"Flora",NA,NA,NA,NA,NA,NA,NA
6,10,NA,"Marie",NA,NA,NA,NA,NA,NA,NA
6,10,NA,"Mat",NA,NA,NA,NA,NA,NA,NA
6,10,NA,"Paul",NA,NA,NA,NA,NA,NA,NA
6,10,NA,"Sandy",NA,NA,NA,NA,NA,NA,NA
6,10,NA,"Stu",NA,NA,NA,NA,NA,NA,NA
6,10,NA,"Ugnė",NA,NA,NA,NA,NA,NA,NA
7,1,"Andrew Smyth","Andrew","IN",25,"Aerospace engineer","Derby / Holywood, County Down","Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake",12
7,1,"Benjamina Ebuehi","Benjamina","IN",23,"Teaching assistant","South London","Pistachio, Cardamom and Lemon Drizzle Cake","White Chocolate Mirror Glaze with Salted Praline Buttercream",6
7,1,"Candice Brown","Candice","IN",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Raspberry and Rhubarb Drizzle Custard Bundt Cake","Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",5
7,1,"Jane Beedle","Jane","STAR BAKER",61,"Garden designer","Beckenham","Lemon and Poppy Seed Drizzle Cake","Chocolate Orange Mirror Cake",7
7,1,"Kate Barmby","Kate","IN",37,"Nurse","Brooke, Norfolk","Berry Best Apple and Bramble Drizzle Cake","One Swallow Does Not Make A Summer Cake",4
7,1,"Lee Banfield","Lee","OUT",67,"Pastor","Bolton","St. Clements Orange and Lemon Drizzle Cake","Strawberry Surprise Mirror Cake",11
7,1,"Louise Williams","Louise","IN",46,"Hairdresser","Cardiff","Orange Liqueur and Lemonade Drizzle Cake","White Chocolate Trifle Mirror Glaze Cake",9
7,1,"Michael Georgiou","Michael","IN",20,"Student","Durham","Lime, Ginger and Honey Drizzle Cake","Matcha Tea Chocolate Mirror Glaze",3
7,1,"Rav Bansal","Rav","IN",28,"Student support","Erith","Ginger Spice Yuzu Drizzle Cake","Colombian Mocha Mirror Glaze Cake",8
7,1,"Selasi Gbormittah","Selasi","IN",30,"Client service associate","London","Citrus and Spice Drizzle Cake","Raspberry, Sloe and White Chocolate Mirror Glaze Cake",1
7,1,"Tom Gilliford","Tom","IN",26,"Project engagement manager","Rochdale","G&T Drizzle Cake","Black Forest Broken Mirror",2
7,1,"Val Stones","Val","IN",66,"Semi-retired, Substitute teacher","Yeovil","Mum's Orange and Lemon Drizzle","Chocolate Sponge with Four Fruit Frosting",10
7,2,"Andrew Smyth","Andrew","IN",25,"Aerospace engineer","Derby / Holywood, County Down","Beehive Biscuits","Punting in Cambridge",4
7,2,"Benjamina Ebuehi","Benjamina","IN",23,"Teaching assistant","South London","Bouquet Biscuits","New York, New York",3
7,2,"Candice Brown","Candice","STAR BAKER",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Salted Caramel, Chocolate Iced Shiny Hearts","Gingerbread Pub with Sticky Ginger Carpet",8
7,2,"Jane Beedle","Jane","IN",61,"Garden designer","Beckenham","Flower Pot Iced Biscuits","Hastings Old Town Fishing Net Shops and Boat",2
7,2,"Kate Barmby","Kate","IN",37,"Nurse","Brooke, Norfolk","""A Biscuit for the Broads""","""I Promise I will do my best""",1
7,2,"Louise Williams","Louise","OUT",46,"Hairdresser","Cardiff","Baa Bara Brith Biscuits","Gingerbread Wedding",10
7,2,"Michael Georgiou","Michael","IN",20,"Student","Durham","Malt, Chocolate and Orange Iced ""Beer"" Biscuits","Trip to See Santa in Lapland",9
7,2,"Rav Bansal","Rav","IN",28,"Student support","Erith","Union Jack Bunting Biscuits","Gingerbread Christmas Fairground",6
7,2,"Selasi Gbormittah","Selasi","IN",30,"Client service associate","London","""Wheelie Hot Iced Biscuits""","Stained Glass Window Gingerbread Church",11
7,2,"Tom Gilliford","Tom","IN",26,"Project engagement manager","Rochdale","Chai Frappelatteccino Biscuits","Tom and Pod's Near Death Experience",7
7,2,"Val Stones","Val","IN",66,"Semi-retired, Substitute teacher","Yeovil","Sunday Treat Iced Ice Cream Cone Biscuits","From Holland to New York via Yorkshire",5
7,2,NA,"Lee",NA,NA,NA,NA,NA,NA,NA
7,3,"Andrew Smyth","Andrew","IN",25,"Aerospace engineer","Derby / Holywood, County Down","Chocolate Barmbrack Bread","Braided Harvest Bread Basket",2
7,3,"Benjamina Ebuehi","Benjamina","IN",23,"Teaching assistant","South London","Chocolate, Tahini and Almond Babka","Braided Bread Heart",6
7,3,"Candice Brown","Candice","IN",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf","Italian Light and Dark Rye Twist",3
7,3,"Jane Beedle","Jane","IN",61,"Garden designer","Beckenham","Chocolate and Cranberry Couronne","Chorizo and Chilli Flower with Parmesan and Pesto Centre",9
7,3,"Kate Barmby","Kate","IN",37,"Nurse","Brooke, Norfolk","Cobbled Loaf","The Corn Maiden",8
7,3,"Michael Georgiou","Michael","OUT",20,"Student","Durham","Chocolate and Chilli Swirl Plait","Cypriot Dove and Olive Branch Plaited Loaf with Houmous",7
7,3,"Rav Bansal","Rav","IN",28,"Student support","Erith","Chocolate, Cardamom and Hazelnut Loaf","Three Tier Diwali Bread Centrepiece",10
7,3,"Selasi Gbormittah","Selasi","IN",30,"Client service associate","London","Chocolate, Orange and Cinnamon Bread","Bedouin Escape Tear and Share Bread",5
7,3,"Tom Gilliford","Tom","STAR BAKER",26,"Project engagement manager","Rochdale","Chocolate Orange and Chilli Swirl Bread","Jörmungandr and Mjölnir",4
7,3,"Val Stones","Val","IN",66,"Semi-retired, Substitute teacher","Yeovil","Double Chocolate Cinnamon Twist Loaf","""And They All Went Into The Ark To Get Out Of The Rain""",1
7,3,NA,"Lee",NA,NA,NA,NA,NA,NA,NA
7,3,NA,"Louise",NA,NA,NA,NA,NA,NA,NA
7,4,"Andrew Smyth","Andrew","IN",25,"Aerospace engineer","Derby / Holywood, County Down","Yorkshire 'Tapas' Puddings","Churros Window Box",4
7,4,"Benjamina Ebuehi","Benjamina","STAR BAKER",23,"Teaching assistant","South London","Red Onion Chutney, Brie and Bacon Yorkshire Puddings","Tropical Churros",1
7,4,"Candice Brown","Candice","IN",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Yorkshire Wellingtons","Two-Way Peanut Butter Churros",2
7,4,"Jane Beedle","Jane","IN",61,"Garden designer","Beckenham","Meat and Two Veg Yorkshires","Pistachio and White Chocolate Churros",3
7,4,"Kate Barmby","Kate","OUT",37,"Nurse","Brooke, Norfolk","Christmas Dinner Compromise","Hot Cross Bunny Churros",7
7,4,"Rav Bansal","Rav","IN",28,"Student support","Erith","Thai Tofu Panang Yorkshires","Three Dip Matcha Pistachio Churros",9
7,4,"Selasi Gbormittah","Selasi","IN",30,"Client service associate","London","Perfect Sunday Roast Accompaniment","Lemon and Anise Churros",8
7,4,"Tom Gilliford","Tom","IN",26,"Project engagement manager","Rochdale","West Yorkshire Fusion Puddings","Fennel Churros Snake In The Grass",5
7,4,"Val Stones","Val","IN",66,"Semi-retired, Substitute teacher","Yeovil","Mum's Chilli Yorkshire Puddings","Orange Chocolate Churros",6
7,4,NA,"Lee",NA,NA,NA,NA,NA,NA,NA
7,4,NA,"Louise",NA,NA,NA,NA,NA,NA,NA
7,4,NA,"Michael",NA,NA,NA,NA,NA,NA,NA
7,5,"Andrew Smyth","Andrew","IN",25,"Aerospace engineer","Derby / Holywood, County Down","Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites",6
7,5,"Benjamina Ebuehi","Benjamina","IN",23,"Teaching assistant","South London","'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels","Plantain and Spinach Samosas and Chai Pear Cups",5
7,5,"Candice Brown","Candice","STAR BAKER",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",2
7,5,"Jane Beedle","Jane","IN",61,"Garden designer","Beckenham","Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",1
7,5,"Rav Bansal","Rav","IN",28,"Student support","Erith","Cinnamon Swirls and Pecan, Walnut and Maple Plaits","Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas",8
7,5,"Selasi Gbormittah","Selasi","IN",30,"Client service associate","London","Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",3
7,5,"Tom Gilliford","Tom","IN",26,"Project engagement manager","Rochdale","Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers","Yin and Yang Amuse-bouche",4
7,5,"Val Stones","Val","OUT",66,"Semi-retired, Substitute teacher","Yeovil","Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",7
7,5,NA,"Kate",NA,NA,NA,NA,NA,NA,NA
7,5,NA,"Lee",NA,NA,NA,NA,NA,NA,NA
7,5,NA,"Louise",NA,NA,NA,NA,NA,NA,NA
7,5,NA,"Michael",NA,NA,NA,NA,NA,NA,NA
7,6,"Andrew Smyth","Andrew","IN",25,"Aerospace engineer","Derby / Holywood, County Down","Tangy Lime and Ginger Meringue Pie","Spring Elderflower Trio",6
7,6,"Benjamina Ebuehi","Benjamina","IN",23,"Teaching assistant","South London","Grapefruit and Ginger Meringue Pie","Floral Tea Cake",2
7,6,"Candice Brown","Candice","IN",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Lime, Coconut and Lemongrass Sugar Meringue Pie","Four Seasons Cake",5
7,6,"Jane Beedle","Jane","IN",61,"Garden designer","Beckenham","Lime and Coconut Meringue Pie","Three Tier Orange Cake with a Floral Chocolate Collar",4
7,6,"Rav Bansal","Rav","OUT",28,"Student support","Erith","Mandarin Margarita Meringue Pie","Blossom Cake",3
7,6,"Selasi Gbormittah","Selasi","IN",30,"Client service associate","London","Grapefruit, Orange and Mint Meringue Pie","Three Tiered Ombré Floral Cake",7
7,6,"Tom Gilliford","Tom","STAR BAKER",26,"Project engagement manager","Rochdale","Blood Orange Halloween Pumpkin Pie","Floral Tea Cake",1
7,6,NA,"Kate",NA,NA,NA,NA,NA,NA,NA
7,6,NA,"Lee",NA,NA,NA,NA,NA,NA,NA
7,6,NA,"Louise",NA,NA,NA,NA,NA,NA,NA
7,6,NA,"Michael",NA,NA,NA,NA,NA,NA,NA
7,6,NA,"Val",NA,NA,NA,NA,NA,NA,NA
7,7,"Andrew Smyth","Andrew","STAR BAKER",25,"Aerospace engineer","Derby / Holywood, County Down","Tropical Holiday Roulade","Childhood Ice Cream Mousse Cakes",1
7,7,"Benjamina Ebuehi","Benjamina","IN",23,"Teaching assistant","South London","Piña Colada Roulade","Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake",3
7,7,"Candice Brown","Candice","IN",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Crowd Pleaser Roulade","Blackberry and Raspberry Bubbles and After Dinner Mousse",2
7,7,"Jane Beedle","Jane","IN",61,"Garden designer","Beckenham","Chocolate and Hazelnut Roulade","Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses",4
7,7,"Selasi Gbormittah","Selasi","IN",30,"Client service associate","London","Summer Picnic Roulade","Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",6
7,7,"Tom Gilliford","Tom","OUT",26,"Project engagement manager","Rochdale","Millionaire's Roulade","Hipster Picnic",5
7,7,NA,"Kate",NA,NA,NA,NA,NA,NA,NA
7,7,NA,"Lee",NA,NA,NA,NA,NA,NA,NA
7,7,NA,"Louise",NA,NA,NA,NA,NA,NA,NA
7,7,NA,"Michael",NA,NA,NA,NA,NA,NA,NA
7,7,NA,"Rav",NA,NA,NA,NA,NA,NA,NA
7,7,NA,"Val",NA,NA,NA,NA,NA,NA,NA
7,8,"Andrew Smyth","Andrew","IN",25,"Aerospace engineer","Derby / Holywood, County Down","Da Vinci Inspired Geared Pies","Jousting Knights Marchpane",2
7,8,"Benjamina Ebuehi","Benjamina","OUT",23,"Teaching assistant","South London","Mexican Adventure","Tudor Garden",4
7,8,"Candice Brown","Candice","STAR BAKER",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Cheesy Cheeky Fish Pies","Peacock",1
7,8,"Jane Beedle","Jane","IN",61,"Garden designer","Beckenham","Tudor Rose Pies","Swans",5
7,8,"Selasi Gbormittah","Selasi","IN",30,"Client service associate","London","Bouquet of Flowers","Fruity Tudor Marchpane",3
7,8,NA,"Kate",NA,NA,NA,NA,NA,NA,NA
7,8,NA,"Lee",NA,NA,NA,NA,NA,NA,NA
7,8,NA,"Louise",NA,NA,NA,NA,NA,NA,NA
7,8,NA,"Michael",NA,NA,NA,NA,NA,NA,NA
7,8,NA,"Rav",NA,NA,NA,NA,NA,NA,NA
7,8,NA,"Tom",NA,NA,NA,NA,NA,NA,NA
7,8,NA,"Val",NA,NA,NA,NA,NA,NA,NA
7,9,"Andrew Smyth","Andrew","STAR BAKER",25,"Aerospace engineer","Derby / Holywood, County Down","Cheesy Elephant Ears and Herby Treble Clefs","Philharmonic Fondants",2
7,9,"Candice Brown","Candice","IN",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers","Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies",3
7,9,"Jane Beedle","Jane","IN",61,"Garden designer","Beckenham","Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers","Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies",1
7,9,"Selasi Gbormittah","Selasi","OUT",30,"Client service associate","London","Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers","Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies",4
7,9,NA,"Benjamina",NA,NA,NA,NA,NA,NA,NA
7,9,NA,"Kate",NA,NA,NA,NA,NA,NA,NA
7,9,NA,"Lee",NA,NA,NA,NA,NA,NA,NA
7,9,NA,"Louise",NA,NA,NA,NA,NA,NA,NA
7,9,NA,"Michael",NA,NA,NA,NA,NA,NA,NA
7,9,NA,"Rav",NA,NA,NA,NA,NA,NA,NA
7,9,NA,"Tom",NA,NA,NA,NA,NA,NA,NA
7,9,NA,"Val",NA,NA,NA,NA,NA,NA,NA
7,10,"Andrew Smyth","Andrew","Runner-up",25,"Aerospace engineer","Derby / Holywood, County Down","Crunchy Caramel Cassis Crown","Family and Friends' Favourites Picnic",1
7,10,"Candice Brown","Candice","WINNER",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Queen Victoria's Mango and Strawberry Crown","Picnic for Pearly Kings and Queens",2
7,10,"Jane Beedle","Jane","Runner-up",61,"Garden designer","Beckenham","Red, White and Blue Meringue Crown","Family Favourites Feast",3
7,10,NA,"Benjamina",NA,NA,NA,NA,NA,NA,NA
7,10,NA,"Kate",NA,NA,NA,NA,NA,NA,NA
7,10,NA,"Lee",NA,NA,NA,NA,NA,NA,NA
7,10,NA,"Louise",NA,NA,NA,NA,NA,NA,NA
7,10,NA,"Michael",NA,NA,NA,NA,NA,NA,NA
7,10,NA,"Rav",NA,NA,NA,NA,NA,NA,NA
7,10,NA,"Selasi",NA,NA,NA,NA,NA,NA,NA
7,10,NA,"Tom",NA,NA,NA,NA,NA,NA,NA
7,10,NA,"Val",NA,NA,NA,NA,NA,NA,NA
8,1,"Chris Geiger","Chris","IN",50,"Software developer","Bristol","Tropical Fresh Fruit Cake","'Raised Pork Pie and Egg Surprise' Cake",12
8,1,"Flo Atkins","Flo","IN",71,"Retired","Merseyside","Citrus Layer Cake","'One in a Melon' Cake",9
8,1,"James Hillery","James","IN",46,"Banker","Brentwood, Essex","Orange, Rhubarb & Ginger Crumble Cake","'Mock-accino and Croissant' Cake",2
8,1,"Julia Chernogorova","Julia","IN",21,"Aviation Broker","Crawley, West Sussex","Courgette and Lemon Cake","'Russian Doll' Cake",3
8,1,"Kate Lyon","Kate","IN",29,"Health and safety inspector","Merseyside","Moroccan Strawberry and Rose Cake","'Chocolate Terrarium' Cake",1
8,1,"Liam Charles","Liam","IN",19,"Student","North London","Apple and Almond Crumble Maple Loaf","'Stackin' Sunday' Cake",8
8,1,"Peter Abatan","Peter","OUT",52,"IT programme manager","Southend, Essex","Coconut Cake","'Bread on a Breadboard' Cake",10
8,1,"Sophie Faldo","Sophie","IN",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey","Pineapple and Coconut Sandwich Cake","'Champagne Bottle and Bucket' Cake",5
8,1,"Stacey Hart","Stacey","IN",42,"Former school teacher","Radlett, Hertfordshire","Granny Smith Apple and Walnut Cake","'Black Evening Clutch Bag' Cake",11
8,1,"Steven Carter-Bailey","Steven","STAR BAKER",34,"Marketer","Watford, Hertfordshire","Bonfire Night Cake","'A Baker's Lunch' Cake",6
8,1,"Tom Hetherington","Tom","IN",29,"Architect","Edinburgh","Gilded Pear and Cardamom Cake","'Stack of Books' Cake",7
8,1,"Yan Tsou","Yan","IN",46,"Laboratory research scientist","North London","Windfall Apple Crumble Cake","'Banana-ramen' Cake",4
8,2,"Chris Geiger","Chris","OUT",50,"Software developer","Bristol","Chocolate Chia Seed Biscuits with Whisky Caramel Filling","'The Great British Sail Off' Game",11
8,2,"Flo Atkins","Flo","IN",71,"Retired","Merseyside","Gin Jam Butties","'Pick My Bones' Game",10
8,2,"James Hillery","James","IN",46,"Banker","Brentwood, Essex","Rhubarb and Custard Whirls","'Coppit' Game",3
8,2,"Julia Chernogorova","Julia","IN",21,"Aviation Broker","Crawley, West Sussex","Middle Eastern Delight Sandwich Biscuits","'A British Baking' Game",4
8,2,"Kate Lyon","Kate","IN",29,"Health and safety inspector","Merseyside","Coconut Seashells for a Titanic Afternoon Tea","'Jungle' Game",8
8,2,"Liam Charles","Liam","IN",19,"Student","North London","Coffee Malted Pecan Shorties","'Classroom Classics' Game",7
8,2,"Sophie Faldo","Sophie","IN",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey","Lemon Limoncino Sandwich Biscuits","'Snakes and Ladders' Game",2
8,2,"Stacey Hart","Stacey","IN",42,"Former school teacher","Radlett, Hertfordshire","Sparkly Chocolate and Marshmallow Fluff Cookies","'Get to School' Game",9
8,2,"Steven Carter-Bailey","Steven","STAR BAKER",34,"Marketer","Watford, Hertfordshire","Amarpressi Biscuits","'Check Bake' Game",6
8,2,"Tom Hetherington","Tom","IN",29,"Architect","Edinburgh","Coffee and Amaretto Kisses","'Drain Pipes and Ladders' Game",5
8,2,"Yan Tsou","Yan","IN",46,"Laboratory research scientist","North London","'Mrs. Marian's PB 'n' B' Biscuits","'Adventures in Bakeland' Game",1
8,2,NA,"Peter",NA,NA,NA,NA,NA,NA,NA
8,3,"Flo Atkins","Flo","OUT",71,"Retired","Merseyside","Cinnamon and Orange Teacakes","'Davy Jones' Locker' Bread Sculpture",7
8,3,"James Hillery","James","IN",46,"Banker","Brentwood, Essex","Nordic Teacakes","'Owl in the Woods' Bread Sculpture",9
8,3,"Julia Chernogorova","Julia","STAR BAKER",21,"Aviation Broker","Crawley, West Sussex","Earl Grey Dried Fruit Teacakes","'The Snail Under a Mushroom' Bread Sculpture",2
8,3,"Kate Lyon","Kate","IN",29,"Health and safety inspector","Merseyside","Blueberry Buns","'Kraken' Bread Sculpture",10
8,3,"Liam Charles","Liam","IN",19,"Student","North London","Jamaican Spiced Teacakes","'Kneadapolitan' Bread Sculpture",5
8,3,"Sophie Faldo","Sophie","IN",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey","Tagine Teacakes","'Picnic Basket' Bread Sculpture",6
8,3,"Stacey Hart","Stacey","IN",42,"Former school teacher","Radlett, Hertfordshire","Cranberry and Cinnamon Teacakes","'Ascot Hat' Bread Sculpture",1
8,3,"Steven Carter-Bailey","Steven","IN",34,"Marketer","Watford, Hertfordshire","Madras Cocktail Teacakes","'The Bag I Knead' Bread Sculpture",3
8,3,"Tom Hetherington","Tom","IN",29,"Architect","Edinburgh","Orange and Cranberry Teacakes","'Pink & Yellow Rose Centrepiece' Bread Sculpture",4
8,3,"Yan Tsou","Yan","IN",46,"Laboratory research scientist","North London","'Mrs P's' Masala Chai Spiced Teacakes","'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture",8
8,3,NA,"Chris",NA,NA,NA,NA,NA,NA,NA
8,3,NA,"Peter",NA,NA,NA,NA,NA,NA,NA
8,4,"James Hillery","James","IN",46,"Banker","Brentwood, Essex","'Windy City' Millionaire Shortbreads","Nutty Caramel Cake",2
8,4,"Julia Chernogorova","Julia","IN",21,"Aviation Broker","Crawley, West Sussex","Pecan Salted Caramel Millionaire Shortbreads","Poppy Seed Caramel Cake",9
8,4,"Kate Lyon","Kate","STAR BAKER",29,"Health and safety inspector","Merseyside","Salted Bay Caramel Millionaire Shortbreads","Sticky Toffee Apple Caramel Cake",6
8,4,"Liam Charles","Liam","IN",19,"Student","North London","Salted Peanut Butter Millionaire Shortbreads","White Layered Ginger Caramel Cake",3
8,4,"Sophie Faldo","Sophie","IN",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey","Jaffa Millionaire Shortbreads","Bird's Nest Caramel Cake",4
8,4,"Stacey Hart","Stacey","IN",42,"Former school teacher","Radlett, Hertfordshire","Rum Salted Caramel Millionaire Shortbreads","Chocolate and Coffee Caramel Cake",1
8,4,"Steven Carter-Bailey","Steven","IN",34,"Marketer","Watford, Hertfordshire","Orange Macadamia Nut Millionaire Shortbreads","Caramel Crown Cake",7
8,4,"Tom Hetherington","Tom","OUT",29,"Architect","Edinburgh","Stem Ginger Caramel Shortbreads","Hummingbird Cake",5
8,4,"Yan Tsou","Yan","IN",46,"Laboratory research scientist","North London","'Lil' Red's Ginger and Nuts' Millionaire Shortbreads","Animals of the Rainforest Caramel Cake",8
8,4,NA,"Chris",NA,NA,NA,NA,NA,NA,NA
8,4,NA,"Flo",NA,NA,NA,NA,NA,NA,NA
8,4,NA,"Peter",NA,NA,NA,NA,NA,NA,NA
8,5,"James Hillery","James","OUT",46,"Banker","Brentwood, Essex","Orange and Ginger Steamed School Pudding","'The Missed Silver Jubilee' Trifle Terrine",7
8,5,"Julia Chernogorova","Julia","IN",21,"Aviation Broker","Crawley, West Sussex","Orange & Treacle Steamed School Pudding","'Opulent Ornament' Trifle Terrine",3
8,5,"Kate Lyon","Kate","IN",29,"Health and safety inspector","Merseyside","'Mr Darcy's Steamy Lake Scene' Steamed School Pudding","'My Great Great Nan's' Raspberry Trifle Terrine",8
8,5,"Liam Charles","Liam","IN",19,"Student","North London","Cherries & Lemons that are 'Baked Well'","'Cheers Lads' Trifle Terrine",2
8,5,"Sophie Faldo","Sophie","STAR BAKER",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey","Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",1
8,5,"Stacey Hart","Stacey","IN",42,"Former school teacher","Radlett, Hertfordshire","Bakewell Tart Steamed School Pudding","Tropical Trifle Terrine",4
8,5,"Steven Carter-Bailey","Steven","IN",34,"Marketer","Watford, Hertfordshire","Lemon & Blackcurrant Drizzle Steamed School Pudding","'From Across the Jelly Pond' Trifle Terrine",5
8,5,"Yan Tsou","Yan","IN",46,"Laboratory research scientist","North London","Mango Fruit Hat Steamed School Pudding","'Heart of a Hero' Trifle Terrine",6
8,5,NA,"Chris",NA,NA,NA,NA,NA,NA,NA
8,5,NA,"Flo",NA,NA,NA,NA,NA,NA,NA
8,5,NA,"Peter",NA,NA,NA,NA,NA,NA,NA
8,5,NA,"Tom",NA,NA,NA,NA,NA,NA,NA
8,6,"Julia Chernogorova","Julia","OUT",21,"Aviation Broker","Crawley, West Sussex","'Pies from the Tree' Decorative Pies","'Special Occasion' Pie",7
8,6,"Kate Lyon","Kate","IN",29,"Health and safety inspector","Merseyside","'Vegetarian Pie Faces' Decorative Pies","Potato Curry Pie with Mango & Chilli Glaze",5
8,6,"Liam Charles","Liam","STAR BAKER",19,"Student","North London","'Standard FC' Decorative Pies","'Nan's Sunday Dinner' Pie",4
8,6,"Sophie Faldo","Sophie","IN",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey","'The Four Seasons' Decorative Pies","Game Pie with Glazed Forest Fruits",2
8,6,"Stacey Hart","Stacey","IN",42,"Former school teacher","Radlett, Hertfordshire","'Love Theme' Decorative Pies","Indian Hand Raised Pie with Mango",6
8,6,"Steven Carter-Bailey","Steven","IN",34,"Marketer","Watford, Hertfordshire","'Fleetwood Mac' Decorative Pies","Christmas Pie",3
8,6,"Yan Tsou","Yan","IN",46,"Laboratory research scientist","North London","'πr2' Decorative Pies","Chequerboard Pie",1
8,6,NA,"Chris",NA,NA,NA,NA,NA,NA,NA
8,6,NA,"Flo",NA,NA,NA,NA,NA,NA,NA
8,6,NA,"James",NA,NA,NA,NA,NA,NA,NA
8,6,NA,"Peter",NA,NA,NA,NA,NA,NA,NA
8,6,NA,"Tom",NA,NA,NA,NA,NA,NA,NA
8,7,"Kate Lyon","Kate","IN",29,"Health and safety inspector","Merseyside","'Happy Hour' Cocktail Cannoli","'Flavour Fusion' Sfogliatelle",6
8,7,"Liam Charles","Liam","IN",19,"Student","North London","'Just Doing Me' Cannoli","'Morning Delivery' Sfogliatelle",2
8,7,"Sophie Faldo","Sophie","IN",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey","'Classics with a Twist' Cannoli","'Classics' Sfogliatelle",3
8,7,"Stacey Hart","Stacey","IN",42,"Former school teacher","Radlett, Hertfordshire","My All Time Favourite Desserts","Pastry Surprise",4
8,7,"Steven Carter-Bailey","Steven","STAR BAKER",34,"Marketer","Watford, Hertfordshire","Italian Style Cannoli","'Sicilian-style' Sfogliatelle",1
8,7,"Yan Tsou","Yan","OUT",46,"Laboratory research scientist","North London","Cannoli Cocktails","Canadian-Style Sfogliatelle",5
8,7,NA,"Chris",NA,NA,NA,NA,NA,NA,NA
8,7,NA,"Flo",NA,NA,NA,NA,NA,NA,NA
8,7,NA,"James",NA,NA,NA,NA,NA,NA,NA
8,7,NA,"Julia",NA,NA,NA,NA,NA,NA,NA
8,7,NA,"Peter",NA,NA,NA,NA,NA,NA,NA
8,7,NA,"Tom",NA,NA,NA,NA,NA,NA,NA
